al_fe,alpha_fe,ba_fe,c_fe,ca_fe,chi2_cannon,co_fe,cr_fe,cu_fe,dej2000,e_al_fe,e_alpha_fe,e_ba_fe,e_c_fe,e_ca_fe,e_co_fe,e_cr_fe,e_cu_fe,e_eu_fe,e_fe_h,e_hmag,e_jmag,e_k_fe,e_kmag,e_la_fe,e_li_fe,e_logg,e_mg_fe,e_mn_fe,e_na_fe,e_ni_fe,e_o_fe,e_rv_nogr_obst,e_rv_obst,e_rv_synt,e_sc_fe,e_si_fe,e_teff,e_ti_fe,e_v_fe,e_vmic,e_vsini,e_y_fe,e_zn_fe,eu_fe,fe_h,field_id,flag_al_fe,flag_ba_fe,flag_c_fe,flag_ca_fe,flag_cannon,flag_co_fe,flag_cr_fe,flag_cu_fe,flag_eu_fe,flag_k_fe,flag_la_fe,flag_li_fe,flag_mg_fe,flag_mn_fe,flag_na_fe,flag_ni_fe,flag_o_fe,flag_sc_fe,flag_si_fe,flag_ti_fe,flag_v_fe,flag_y_fe,flag_zn_fe,gaia_dr2_id,hmag,jmag,k_fe,kmag,la_fe,li_fe,logg,mg_fe,mn_fe,na_fe,ndfclass,ni_fe,o_fe,raj2000,rv_nogr_obst,rv_obst,rv_synt,sc_fe,si_fe,snr_c1,snr_c2,snr_c3,snr_c4,sobject_id,sp_label_distance,star_id,teff,ti_fe,v_fe,vmag_jk,vmic,vsini,y_fe,zn_fe
-0.03738089596448771,0.018296457288410752,0.008550084888946818,0.180778629582878,-0.023413341992524456,0.8107201062174705,-0.3155923005176638,0.014602974751818699,-0.04215709296528157,-21.252775,0.04530031161652839,0.02674705187880656,0.09945830381387182,0.024789093993203275,0.05752358865388291,0.05286265947809457,0.060589567378908485,0.060870806424065844,0.06942128367288355,0.07614321549358857,0.026,0.021,0.09820380289163486,0.023,0.05285925966859208,0.034836917819109754,0.18514448551211024,0.08189957186809979,0.06375188615879773,0.051853796083861765,0.06591444571495665,0.1106453733894259,,,0.11180047317217923,0.048510776064119764,0.07492227410777529,64.69663534824826,0.03816114421390968,0.06064294597902326,0.043177007881878275,1.0425827348010983,0.08498237394194032,0.07606453012931258,0.07911650425572544,0.045706885442767464,6531,0,0,1,0,0,5,0,0,5,0,5,2,0,0,0,0,0,0,0,0,0,0,0,6196536372355466496,10.594,10.87,0.09005514568532118,10.517,0.11997258241709635,1.4745508888238836,4.42247295608469,0.06221966365697914,0.08225885208392206,0.017983053724128294,"MFOBJECT",0.28714347940094365,-0.0159081738381424,203.078134,,,-6.25057194461,0.08855146699245381,0.08497315744882543,51.3828086196,45.1263143324,49.4946294993,43.9337174822,150703002101227,0.9520563361048019,"13321875-2115099",5891.996948189124,0.013887545031895682,0.02375315049796839,12.021749241101293,1.2008438525617764,4.8148243063505,-0.10185561253537989,-0.1953518809227134
0.02654650377357263,-0.0019246387875973927,-0.3887712821024293,-0.015697573601017225,-0.09961230920300182,0.9463723242027277,0.16426053594202644,-0.027973023544415394,-0.1921081636761803,-78.37043,0.05215669957978663,0.03455170116733983,0.1163887849252599,0.1551638091960008,0.06721149623018483,0.07616869785945525,0.07232146958601515,0.0708615639394468,0.07225180195458701,0.08982915201619017,0.022,0.023,0.11574978920964146,0.026,0.12172211388736816,0.03865522639627113,0.21060914963245947,0.09705833728187986,0.07514913792541046,0.059927479312497145,0.07389527861344448,0.1305440426238654,,,0.18026215572669585,0.056963831558235575,0.09104343350718506,202.68651840471233,0.044275245578934044,0.0720563464939494,0.04969718850538447,1.1763239732766066,0.12841429029755994,0.08991866523428797,0.7431726980942024,-0.011441419363347749,2618,0,0,5,0,0,1,0,0,5,0,4,2,0,1,0,0,1,0,1,0,0,0,1,5786369954825475968,11.546,12.027,-0.09803143995131519,11.487,0.3486559364905333,0.26157144529674115,4.728678322132532,0.07921701636409732,-0.23527443942205326,-0.2126403717711683,"MFOBJECT",0.10737844242526778,0.007866657531624008,203.079557,,,6.35166666667,0.04954845999451069,0.04715749240455078,11.1415928343,18.2211378496,19.6347182032,31.4511241464,150531000901222,1.1306675725988578,"13321909-7822135",5212.243031876825,0.023581487698254022,0.6392453749461812,13.601021293712027,1.1151286143387054,5.504457210604642,0.4923695691404735,-0.1514157235267131
-0.039077527686021754,0.08530536561249893,0.1962181618193682,0.103663272741312,0.030081464622545115,1.490959450591615,-0.18149160270202855,-0.03239634501938706,0.04925478693548568,-37.46719,0.030263444593729646,0.017444682781966918,0.06523102832296881,0.01870043170113153,0.03699151853415508,0.04011358904715562,0.036840063224336576,0.04032682164769329,0.04648371362527012,0.04736819280472115,0.022,0.024,2.55981654438559,0.021,0.03584697841060436,0.030486100280026043,0.1278807156161818,0.05389247625785468,0.04144478956992393,0.03467358368688017,0.044243058980409235,0.07333166206213383,0.16,0.163,0.13845608362789583,0.03100149533964877,0.04852802507919234,39.9430583761008,0.024997233389008975,0.038048691251825244,0.028830726515393923,0.7383638506637542,0.055847341874228025,0.05194897608016772,0.4561476224702499,-0.4804291496392912,5861,5,0,1,0,0,5,0,4,7,4,5,7,0,0,0,0,0,0,0,0,1,0,0,6162778655260050432,10.903,11.127,0.26990484209088095,10.882,0.07955323627453983,1.3620734651692044,4.002305801864837,0.08307700921317253,-0.08632646644195931,0.09394661843588017,"MFOBJECT",0.024293239037136524,0.41980618793721225,203.081421,-63.946,-64.381,-63.479410128,0.1291094645821269,0.07549288734914203,100.177895279,122.389087211,177.495273804,146.647825846,140312003501192,2.362624292604432,"13321954-3728018",6365.327574894212,0.07473764664550495,0.1589795787716423,12.069974576375392,1.4476598350565744,13.537534124419555,0.10340662723073982,-0.0864303341629603
0.11177987999071412,0.08199614627710845,0.03552010657150095,-0.2256120919807061,0.1775924101195671,1.942851170966212,-0.002165276737039215,0.10004400226364576,-0.033960946981962184,-37.781044,0.03467811060577603,0.020159221594503018,0.07523455407464957,0.06900969618671123,0.04293418539853895,0.038763951290996045,0.04355778996283423,0.04635453852695303,0.043923387586742656,0.05562468420159402,0.022,0.023,0.07175889808594661,0.023,0.03918390013124504,0.02983693708118946,0.1449454618614998,0.06208893011596499,0.04795107998412931,0.0397365158618809,0.05032282889992485,0.0843456991226826,0.09,0.09,0.24424416754169526,0.03607084572193148,0.056219065999597084,47.38435651823581,0.02884576234560422,0.04455117246448465,0.03305431708310445,0.8297995197909979,0.06442585200537199,0.059115779256775504,0.027438235380318865,-0.002408836201413578,5861,2,0,5,0,0,2,0,2,0,2,0,3,0,0,0,0,0,0,0,0,2,0,0,6162758623532604160,10.055,10.585,0.024470181607614827,9.979,0.004967950198638799,-0.05662891369330092,3.142126109854021,-0.06844782688403687,-0.04533965398981055,-0.03993543223403087,"MFOBJECT",0.3334037770847505,-0.007562187889935207,203.084699,-23.839,-24.014,-23.6760117734,-0.004638627365200196,-0.04040974684236201,60.4628793485,96.2353149273,147.1448044,128.181462839,140312003501151,0.4072504042046489,"13322032-3746517",4940.278830159626,0.11401671643585304,0.48909323955268136,12.331419971159447,1.199460381096427,4.773000363576459,-0.0264153224340061,-0.14503969409529385
0.17397093574466743,0.09236628173604546,-0.3189028259261175,0.08582836976817343,0.0037374091156370387,1.3108395636143009,0.0641378875213027,0.04635762528091386,0.07846096302454628,-36.865604,0.044119547098486055,0.02601437518328901,0.09679856727336346,0.02753322896795669,0.05588866621858547,0.05122374301875521,0.05854175553732688,0.05926264285096477,0.06405417920187047,0.07382907660711603,0.022,0.022,0.09515851204904074,0.019,0.05028153254584405,0.034322807152075065,0.18074295789612413,0.079683664931346,0.06199734113545138,0.05051358057557996,0.06311294535249223,0.10784671368646036,0.092,0.118,0.1704848568344421,0.04711435718650631,0.07283359068225913,63.688014061948245,0.03712564089015118,0.05885041806719863,0.042057939587752675,1.019426701776104,0.083335309093256,0.07421465417720692,0.0410143725997863,-0.02756090670715472,5861,0,0,5,0,0,0,0,0,5,0,0,7,0,3,0,0,0,0,0,0,0,0,0,6162878023623361408,11.335,11.748,-0.046455923842139896,11.259,0.38520887895394756,0.30976601423484096,4.395541930396663,0.2938343016572744,-0.4753301530008881,0.013388832049537135,"MFOBJECT",0.10198608464782224,0.2057311915610172,203.085141,40.654,40.053,40.5827250608,0.03964006731749385,0.13534318638369408,42.6414239992,50.1500421348,85.1968019673,88.4797151827,140312003501260,1.2831215013857906,"13322043-3651561",5169.619988599629,0.06314077167362445,0.42042928545056424,13.197903510809558,1.027723105880868,5.233030849641642,-0.3104152327199704,-0.015777603837934282
0.4258577880606883,0.2869403331661118,-0.19988165200978666,-0.09192156691429008,0.10884989758480086,2.72996275223124,0.18437134886517753,-0.03820045259833678,0.1293891084589374,-42.687222,0.03734908310526664,0.04508178412609889,0.08127749861043794,0.028235109602287936,0.04656801831694427,0.04215567546904404,0.047707985045403634,0.049995001045443244,0.046651022036023705,0.06069615798437993,0.025,0.022,0.07827638024655197,0.023,0.04221037973110844,0.033731443215646736,0.15514779782343144,0.06705699654617125,0.05190000616106958,0.04278766253928104,0.053951045184447675,0.09708281245184801,0.103,0.103,0.10390220315196663,0.03916442789785994,0.06089767849754525,50.613423673590425,0.031178078599538996,0.04853303756223113,0.03560162333072223,0.8841320559189766,0.06959607087273421,0.06345745267335764,0.4550917045261657,-0.43288206869335566,5403,2,2,7,2,0,2,2,2,2,2,2,7,0,2,0,0,5,2,0,2,2,0,0,6112600822923094016,9.12,9.909,-0.073280887925712,8.936,0.14315152999114583,-1.214757291098291,1.9256871127054556,0.2560361040493446,-0.3399336811808334,0.04793013473855855,"MFOBJECT",0.2026036602279334,0.19225074973999234,203.086022,66.402,66.383,66.8169905956,0.2190793357602959,0.3124280652683336,53.647996384,82.0328043669,112.059727618,177.723970238,160422004001210,0.48484627498269584,"13322064-4241139",4141.641841646865,0.3321584669095826,0.5025934368953622,12.95459686238506,1.6892902402352308,6.7569157138766744,0.2525886146683732,-0.12225955989445318
-0.08105165977370321,0.06577010193975824,0.09930253169413619,0.12507057635391616,0.1583968637306565,1.0567353728210107,-0.18967742635792367,0.023441016106936843,0.02115668404311414,-42.170219,0.039813917792722926,0.02333148310707991,0.08689228540233435,0.023084746241042797,0.049945101959593535,0.046007054189286814,0.05168715214236677,0.05335855977957861,0.05095420384608378,0.0654255299519857,0.027,0.023,0.08523029886656971,0.025,0.04674528371813728,0.03233178394438869,0.16449365395309903,0.07164175134047074,0.05555564308746707,0.04559492454840792,0.057297342898388406,0.09701393407855706,0.091,0.111,0.1346666849325757,0.042039699927018066,0.06521174741703026,56.00687236943118,0.03333502950478104,0.052249223478260234,0.03794857650780957,0.9337265138594862,0.07432330001079887,0.06734210846437771,0.20162782398300355,-0.1691922888193315,5403,0,0,4,0,0,5,0,0,5,0,5,3,0,0,0,0,0,0,0,0,0,0,0,6112806878274241408,10.748,11.032,0.11265113271511262,10.664,0.0333428612589866,1.1636242211894157,4.020763855150553,-0.02191022105735041,0.029361900372364552,0.051448905341112565,"MFOBJECT",0.0802431037068777,0.15462041211003338,203.0869,-64.612,-65.107,-64.0686868687,0.10789302827664449,-0.03681405702858073,60.8961369993,69.8195773089,83.3563655681,115.563437094,160422004001283,1.5572762782350946,"13322085-4210127",5849.15028899788,0.059806678466044365,0.07592984698563823,12.214547507477775,1.2077361125171366,6.487768411078183,-0.12119038480552424,0.16099443822709358
-0.057104833043570336,-0.031775227836789786,-0.1721213924121505,-0.4399568457025644,-0.08272560694921438,0.79816576574088,0.016989965265171224,0.01941024415877369,-0.11501827159273112,-21.499199,0.05003983954836784,0.030656651102211663,0.11042603812021207,0.08689232046332832,0.06414423935460402,0.07877677352327991,0.06870546525684469,0.06741331629208629,0.06784198451092223,0.08554115165206357,0.022,0.023,0.11027190147886669,0.029,0.058090604087046596,0.03754881537645924,0.20272861874728948,0.09096842763256521,0.07087724201228648,0.057276594989100656,0.07334882002020128,0.1233056298043245,,,0.11180330222670844,0.05418609761728092,0.08384583076059719,103.58640745204627,0.04233751721931345,0.06807664475698583,0.04767137754364489,1.1349198776579175,0.0948673828219569,0.0836302756140887,0.417578350771257,-0.2917079460637702,6531,0,0,5,0,0,5,0,0,5,0,5,7,0,0,0,1,1,0,0,0,0,0,0,6195684048980934528,12.013,12.393,0.15416622469395977,11.967,-0.13199847398967457,0.5715430627407923,4.399176336767466,0.07619225676576293,-0.07051516776934852,0.06927798700204371,"MFOBJECT",0.35060684525727176,0.031454813962089795,203.08752,,,23.7501039501,0.02054411198986618,-0.037669826324371436,25.0412978501,26.182534997,27.5075940409,28.5041999221,150703002101209,1.1798785045968816,"13322100-2129571",5467.793672781865,-0.031462215981963804,0.20172108609658995,13.699294644356662,1.080396473005036,5.267045003230582,0.11375300928962004,0.11463574115286014
-0.12242796843643788,0.09803411535308468,-0.1384550705582385,0.07888113674978597,0.10030325594284942,0.9608293747539337,-0.22768914885533093,0.03519419266925009,0.2519735985992428,-46.847683,0.041087309329665665,0.024137265207420627,0.09060604469021487,0.02376720840868809,0.051877640589977445,0.06246691925726917,0.05360647541137484,0.05507838807875218,0.06580571306214382,0.06785743503752943,0.029,0.022,0.08817134519477876,0.025,0.0474798426411637,0.032974316483155186,0.1692409658010663,0.07400756784526927,0.05742431664417407,0.047033489389743825,0.05898876914223611,0.10013051814967679,,,0.21694611403740663,0.04352882514410926,0.06752549062723523,58.048153108102916,0.03443729738835399,0.05415121959994012,0.03914547516425666,0.9589807416501563,0.07675061336837763,,0.34260585321694964,-0.2938511929850059,4975,5,1,0,0,0,5,0,1,5,0,5,3,0,0,0,4,0,0,0,0,1,0,7,6083933672870848768,11.828,12.064,0.17376149314586706,11.752,0.2497253560326182,2.2076866955826886,3.978474144821061,0.1738970486001017,-0.010390901342873918,0.06624365657516515,"MFOBJECT",-0.1088278361806372,0.30502654117799416,203.087902,,,-57.138666971,0.13597014689764017,0.058142790560991225,51.1395017831,63.8789378528,79.2221410812,77.8972178748,160419003601053,2.8105377320104035,"13322109-4650516",6530.61057794221,0.06649953422226826,0.10434191227690123,13.133909129421633,1.580394970798289,20.00913376170323,0.26992138379910113,
-0.1257244714461114,-0.041055361369104065,0.19161724980089143,0.16430485113529092,0.014906959640052744,1.8200790772739444,-0.31228867614550554,-0.06296518936796615,-0.11183815450480045,-37.439705,0.03938670286522732,0.023071311915367668,0.08589879966292528,0.022839065054493186,0.04935886908615045,0.04494692805026712,0.05094822335140217,0.05278000839347747,0.07619257560391074,0.06460596149231647,0.022,0.024,0.08332225021643107,0.023,0.04675640268520757,0.032132910539729116,0.1628850065594196,0.07088417026278973,0.05493016916449471,0.045116553323179806,0.05671730393747962,0.09600185097930883,0.079,0.097,0.18026183035843207,0.041547629647004355,0.06450056728409485,56.70114693358494,0.0329629052005421,0.0516393535412324,0.03754372889510228,0.9251998331227399,0.07362434646089605,0.06669032128367092,-0.07823801975807193,0.2028996298072016,5861,0,0,5,0,0,3,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6162778861418458496,11.39,11.739,-0.15662231620483208,11.296,0.1345046832816982,0.36933152164529837,4.534136464483765,-0.06016210873447435,0.03134532144721919,-0.059401295843013055,"MFOBJECT",0.11039543531124572,0.06705248805804867,203.088657,-5.861,-6.547,-5.4516841724,-0.056720013174160894,-0.06391181536145146,51.0368723127,71.8714749521,115.575276246,98.8941987149,140312003501186,0.9458058203670264,"13322127-3726229",5420.73922044286,-0.06865777549056931,0.2015443145812775,13.083055598552736,1.0038690729059792,4.92018884924579,0.1819629223093092,0.009312031747652421
