al_fe,alpha_fe,ba_fe,c_fe,ca_fe,chi2_cannon,co_fe,cr_fe,cu_fe,dej2000,e_al_fe,e_alpha_fe,e_ba_fe,e_c_fe,e_ca_fe,e_co_fe,e_cr_fe,e_cu_fe,e_eu_fe,e_fe_h,e_hmag,e_jmag,e_k_fe,e_kmag,e_la_fe,e_li_fe,e_logg,e_mg_fe,e_mn_fe,e_na_fe,e_ni_fe,e_o_fe,e_rv_nogr_obst,e_rv_obst,e_rv_synt,e_sc_fe,e_si_fe,e_teff,e_ti_fe,e_v_fe,e_vmic,e_vsini,e_y_fe,e_zn_fe,eu_fe,fe_h,field_id,flag_al_fe,flag_ba_fe,flag_c_fe,flag_ca_fe,flag_cannon,flag_co_fe,flag_cr_fe,flag_cu_fe,flag_eu_fe,flag_k_fe,flag_la_fe,flag_li_fe,flag_mg_fe,flag_mn_fe,flag_na_fe,flag_ni_fe,flag_o_fe,flag_sc_fe,flag_si_fe,flag_ti_fe,flag_v_fe,flag_y_fe,flag_zn_fe,gaia_dr2_id,hmag,jmag,k_fe,kmag,la_fe,li_fe,logg,mg_fe,mn_fe,na_fe,ndfclass,ni_fe,o_fe,raj2000,rv_nogr_obst,rv_obst,rv_synt,sc_fe,si_fe,snr_c1,snr_c2,snr_c3,snr_c4,sobject_id,sp_label_distance,star_id,teff,ti_fe,v_fe,vmag_jk,vmic,vsini,y_fe,zn_fe
6.611594854419034E-4,,0.1985371202677762,-0.202247686408451,0.1390984408314841,1.176765788871479,-0.33017733609258954,-0.04402978633313695,-0.6511874886339696,-70.905609,0.046540676966950384,,0.10210360946255584,0.09985031498172556,0.05915423160329451,0.06145200883521248,0.06241534340127878,0.06241451838735072,0.05896760367057674,0.07839093217270186,0.022,0.024,0.10118343460034177,0.021,0.05284563957441909,0.03550498849271286,0.1893917493885645,0.08415300419347864,0.06578904555700593,0.053226149294962735,0.06621095853483253,0.11804083881487928,,,0.12715562850827664,0.04985520695982034,0.07700410819449034,129.53099882017244,0.039163185675693386,0.062399171471358726,0.04425896332431485,1.0648351316508773,0.0872453232620933,0.07858638221176131,0.11170101838244176,-2.1784716273926197,32,7,5,7,3,1,7,3,4,7,5,3,9,3,3,7,3,7,3,4,3,3,3,3,4690135284013462272,11.114,11.73,0.18049074585135377,10.986,0.32924122766552183,1.5873421197663462,0.5128227415688835,-0.002769119902819611,-0.32226471898779474,-0.1923501313721918,"MFOBJECT",-0.15745857577203115,0.44732121715826845,12.255955,,,229.853675214,0.013468707084425949,0.3093701333672164,21.2381343437,40.3914948592,58.6348054517,65.5573537281,140806004701192,13.361013734623503,"00490142-7054201",4269.7596456721085,0.1238083105934875,-0.28863989224507336,13.887902621158904,1.2957313790687073,7.858655752079679,-0.36836420674915826,-0.013036265840035838
0.08617997247009217,0.12485924406610165,0.10096501868660399,-0.4018877507591625,0.007669830323304358,1.6865349843195898,-0.023397466335395828,0.007449249464280808,-0.16491796941101466,-70.648506,0.04366277527811653,0.030225330214463435,0.09569664799732273,0.03350521990564636,0.05525155477985892,0.05039325033007185,0.05778134650087879,0.058621135079944535,0.053789272702925175,0.0729236677365245,0.021,0.027,0.09406486146953111,0.019,0.0494144125395042,0.05423574561783343,0.1790127400103628,0.07886147228125204,0.06131252719579366,0.049993579052530074,0.062486082082899755,0.10942382059651151,0.129,0.129,0.1820223478059514,0.046566237778542276,0.07214473943317756,75.43041598721624,0.03671897407932644,0.05811604222232567,0.04161868936111826,1.0103146963263028,0.08203265410822413,0.07361516599067953,0.1905334960939429,-0.7173152744701581,32,0,2,5,1,0,2,0,0,2,0,2,7,0,0,0,0,4,0,0,0,2,0,0,4691634846074540160,9.908,10.611,0.09141256960553412,9.789,0.12088463708748623,-0.5662051980963333,1.2777701837670397,0.07018798280245375,-0.01110032402152844,0.038118234466681056,"MFOBJECT",0.0017721560422251093,0.1838255252820023,14.609804,208.567,208.54,207.327112517,0.009742414877301278,0.07739527639613028,37.108427378,52.1585881137,68.3927161136,106.714687173,140806004701365,1.1559631639954868,"00582635-7038546",4370.448160286359,0.14900696132369376,0.3708168719634035,13.038335095362816,1.4486003557657923,7.429257970764211,-0.13269227576513237,-0.24094824729359973
0.08405009641832498,,-2.414032717823688,-0.32568900502616316,-0.4820122198867624,3.913991427944651,-0.10574353235659895,-0.029136381782463038,-0.48468022927910154,-70.878036,0.039422726215899505,,0.09702861630891034,0.04529859530074234,0.04938196654984968,0.04502165659101312,0.05094113165096049,0.05280694955308923,0.04912623273794498,0.06462124486157837,0.025,0.027,0.08354129108488541,0.019,0.04455924933107858,2.1675986378728997,0.16291518781558492,0.07148566105563003,0.05514286566155435,0.04522584091072373,0.05672606194874955,0.21046298076057307,,,0.5369783018564888,0.04155090607341,0.080637708833027,84.67923470976571,0.03297040064679336,0.05161329921497828,0.037551280261332316,0.925340478489944,0.07407347032787946,0.06774750670918851,0.4098568961760296,-0.9317913735847174,32,5,5,7,5,1,5,5,5,5,5,5,9,3,5,3,5,7,3,3,5,5,3,3,4690886314878307328,9.361,10.137,-0.16637062851183776,9.244,0.11425921607375447,-0.6347921794030976,0.44278498655210985,-0.13777129731622295,-0.3119927335478221,-0.011129548450233138,"MFOBJECT",-0.20566417340164805,0.30680454876537866,15.556676,,,217.309405941,0.0017171213856989193,0.005744049452663949,44.4685618112,71.8330727477,96.3194415305,121.807223379,140806004701006,11.09314542334221,"01021360-7052409",4204.5453002712475,-0.051598447961160726,0.5188816680105506,12.837550282401747,1.7542303263011403,9.478206532335825,-0.011097387917558571,-0.5697397166842855
0.008431487169972392,0.23939222796511195,0.5634937730372203,-0.2787873629169744,0.26992996158184857,1.22991664145285,-0.4116268319391246,-0.3079323355832121,-0.6764813558416941,-70.796516,0.05046523086657285,0.03331461622977099,0.11192503361141751,0.07443158564896249,0.06499246896258501,0.05970362487362371,0.06911543132131291,0.06795724616911529,0.06160373067263884,0.08635081842069202,0.023,0.026,0.11135165483241431,0.023,0.05753052886529882,0.9338064015623173,0.2042239052432133,0.09278935078942877,0.07235588568377237,0.05814396423171717,0.07154269164758754,0.13540511176396902,,,0.4986665419176627,0.054632347840434456,0.08566809205860454,262.0479839642914,0.042713032301696215,0.06862703385549357,0.04805489636999746,1.1424116559272208,0.09890426064684699,0.1240038015068612,0.5160511587657785,-1.0970378168438062,32,0,0,5,0,0,1,0,0,0,2,1,3,0,1,0,0,2,0,2,0,0,0,0,4690887590491024768,10.903,11.56,0.3587027144602528,10.78,0.22885830613964753,-0.151830030541099,0.9672838899706862,0.1864864839955661,-0.051649549952909254,0.1669370502949629,"MFOBJECT",-0.052760071875723444,-0.22166379946911274,15.667692,,,220.233860532,0.10876863752917076,-0.30866022502061763,14.2677022903,24.6498389144,37.88074477,61.0182190649,140806004701397,1.2757089161279513,"01024024-7047474",4494.942822739036,0.23741319195754448,0.2982166339937828,13.838554511476387,1.562245831290916,9.482988608726657,-0.036239379631023444,0.3905963697079266
-0.0986097734858905,,0.27229739508158285,-0.24115046821768144,0.09234450892388217,2.19790681808594,-0.11504717446217494,-0.16871838644766657,-0.6005109448877661,-70.813347,0.04531223539805078,,0.09958866635791161,0.040942766883518604,0.05756928971918563,0.0525962635724324,0.06047659136266499,0.06088838427351981,0.05563076126203382,0.0761722309528446,0.025,0.026,0.0982214810488313,0.019,0.05131636018926571,1.008531275605735,0.1851995615474554,0.08232317988041128,0.06517487610635252,0.05202132796728711,0.06470448063968913,0.16749935980843403,,,0.13196276182768704,0.04852155326653815,0.08666802945697341,97.76975891975928,0.038175444894481846,0.060656568644008306,0.04319099124683945,1.0428359123826247,0.08611978649342979,0.07735702473700382,0.2952389797272839,-1.1247760249176082,32,3,5,7,3,1,5,3,3,5,5,3,9,3,3,3,5,7,3,3,3,5,3,3,4690887311315326976,9.185,9.972,-0.15365921943304167,9.004,0.043429074831650434,-0.6975183523458633,0.049051251385648253,-0.12168450361948464,-0.5951201331014413,-0.27860742140120787,"MFOBJECT",1.0376562639582592,0.4889682340350917,15.680457,,,220.813894422,-0.010379705792550917,0.021542535636034935,23.4156908607,45.0644110433,70.8700122529,115.792023655,140806004701399,47.93847347249543,"01024330-7048480",3984.0116797018045,0.2338254321453847,0.4855382917253156,12.994760225583603,1.7071656571781446,8.988328746441274,-0.05979485600546519,-0.8952740237734897
0.33870273168248133,0.11635549279329972,0.1898327457816148,-0.41240504959651836,0.02676557024493488,1.8970126956882716,-0.2492930955544852,0.01400841195230711,-0.7258446023475604,-70.869606,0.04618338420565116,0.030157445990660697,0.10159996617295237,0.06357945881042368,0.05856218679010951,0.05515160201199914,0.06163921065520704,0.061828425301435876,0.05687959108857299,0.07751664275003554,0.022,0.024,0.10014084511732264,0.019,0.05241338289489485,1.4298559187244242,0.18774333501079005,0.08360294546716349,0.06680523941836011,0.05277429355891324,0.06561753161180003,0.14936001234778412,,,1.688017973674347,0.0493346924420818,0.07910038102996152,183.8033583417648,0.03878178559424655,0.06172151578049291,0.04383867322436824,1.0561971007006783,0.08722865548763764,0.08320318767290243,0.43117052400253125,-1.1283618372921171,32,1,2,5,0,0,1,0,2,2,2,0,7,0,0,0,1,5,0,1,0,0,0,0,4690886177443961984,10.56,11.292,0.05670261531747506,10.444,-0.06713666268196992,-0.17959117044739104,0.739549126456204,-0.0026599586839475,-0.7061640416889275,-0.12514940505489985,"MFOBJECT",-0.29708495103764426,0.3277742723967568,15.688034,,,214.804590354,-0.03137442639351054,-0.23713006680161033,27.4150075356,42.2169621299,46.5573369727,68.756102536,140806004701011,1.364184753456874,"01024512-7052105",4367.134624456061,0.18125569312293,0.2830895401135752,13.81607584015682,1.426135733198491,9.205746896924431,-0.07726807026525481,0.29624291229620237
-0.026122449406186674,0.08332382396110344,-2.064233859646587,0.09690811382157176,-0.4976704898855981,1.8343728104741266,0.09260256335213066,0.05707929414377287,-0.5751046134620174,-70.93541,0.048166902614294356,0.05966750980099404,0.15808469067881242,0.08600093860914161,0.0614885002038676,0.05986045434992434,0.06520935393227906,0.06469138931711745,0.060459722248590045,0.08164082252791198,0.024,0.022,0.10574293291635668,0.021,0.06351865239937236,1.2163142602147068,0.19548677078080956,0.08785961314529549,0.06850597225594786,0.05550531388427093,0.06842116202234012,0.1778863363194309,,,1.6540476006400218,0.05181716691045136,0.0812882031976005,319.9691398062146,0.040613176024736124,0.06503548083341985,0.04581524802626689,1.0967930168724833,0.09198963089653564,0.08243564686797374,0.3849251430779407,-1.1477688975771532,32,1,3,5,3,0,0,0,0,0,0,3,7,0,1,0,0,5,0,0,1,0,0,1,4690838112469025280,11.111,11.727,0.13436742694731352,10.965,-0.4386054749955759,1.0144648603283013E-4,0.9814775617061238,0.033563318032292754,-0.07042169607781643,-0.05489116130737409,"MFOBJECT",-0.11721892947357111,0.29955927142504263,15.764903,,,219.527836505,0.02266165008215304,0.12591908281852723,23.2579836846,33.7803397777,35.7993527319,53.2615879434,140806004701012,1.219062129577291,"01030357-7056074",4485.165098469995,-0.08369411173014246,0.11367451257743713,13.944466781575763,1.3871848557733342,9.170849136925668,-0.0705173595355981,-0.3815635376469689
-0.1505625627987108,0.2134819277577362,0.6671622462396425,-0.2986041853782338,0.15254335580602443,3.1814362295418555,-0.5847804504828055,-0.06379622858153321,-0.525481423419606,-70.75779,0.05066049292431669,0.03484356847733958,0.11671042624982204,0.16956389489015536,0.06660356936541093,0.06127675169119378,0.06945940504210803,0.06891400252177045,0.08316202124933458,0.08649734549587981,0.024,0.024,0.11192907642436802,0.021,0.06047313757961789,0.06798626673878061,0.20450311510088448,0.09867535004708482,0.0759844095357334,0.06018830088632951,0.07164297943851398,0.14247180718325156,,,0.14568246276871347,0.05486974824051602,0.13448925138043172,558.8822580850733,0.04291572390534254,0.0687852436891362,0.04812399819484816,1.1440924131110544,0.1167916467264702,0.2820418681723789,-0.08481723956073761,-1.0265966124986392,32,1,0,5,0,0,5,0,0,1,2,5,7,1,1,1,3,1,0,0,0,1,0,1,4690888105887037184,10.953,11.606,0.6330352961346346,10.832,0.2415469349752708,0.34403786522618207,1.2438933799920884,0.47939292494368757,-0.1542653746011074,0.4358146109304979,"MFOBJECT",-0.23986905231936045,0.30012877703212454,15.785392,,,223.668704663,0.16226784809008415,0.23904316919768406,14.0547954704,24.3772504547,37.5433409054,62.6748428451,140806004701393,3.947764935515168,"01030849-7045280",4656.8579229024845,0.23617969539937633,0.40750354347165185,13.864019243370098,1.707652002678982,11.397258163286665,0.29246475069555933,0.41592387970222466
-0.03229565115967413,,-0.33393850801224656,-0.6421900481234999,-0.8234234879187781,14.258970285502503,-0.4027965512365422,0.08519655168926835,-0.16214563577286695,-70.905579,0.048687493057383235,,0.11903751808177349,0.4006259559582302,0.06301581829767706,0.05818523044604232,0.06582729969808603,0.07240107499025439,0.10112868687236454,0.08246157177272878,0.028,0.026,0.10872044336894728,0.024,0.06765210512575047,0.037086936044269596,0.1970280441512359,0.16383994804317734,0.07263021909111847,0.09210791932379335,0.0690248257719028,0.3150336105527464,,,0.10624204848222712,0.05283474980432336,0.4390236283974589,272.77639805200386,0.04122086218361844,0.06557356780556794,0.046207191664766986,1.1051675138457318,0.3824871735429361,0.6751593646079826,0.3915161687896131,-0.440284576411296,32,5,5,9,5,3,3,5,5,3,5,3,5,5,5,5,5,5,5,3,5,5,3,3,4690838559145577728,8.987,9.667,-1.0223550491635516,8.764,-0.13749611413727797,0.9358580117039212,3.324537717073371,-0.5771005686009274,0.2892642935716493,-1.0412552304811278,"MFOBJECT",0.11392220425981855,0.6028327695915076,15.84103,,,224.423429319,0.36174509157290047,0.4157710643469905,15.7534155294,32.1515322048,47.5520053396,87.8985247705,140806004701008,63.32528593265033,"01032184-7054200",4056.4043723075165,0.28751267426679483,1.0265222147021054,12.40840884506451,2.059408825795629,10.32299581088435,0.18413990750608425,1.661427537662992
0.038466699023682244,0.17947203399567502,-0.2380126801567459,-0.19632763645296442,-0.02075143157537923,2.2366342731219286,-0.4356232230694882,-0.15401834600194428,-0.6796392950280975,-70.922974,0.04745999961953428,0.03290835127259389,0.1055775860000338,0.09821713425202858,0.060489276790970416,0.05704097964638944,0.06390688873586094,0.06361686192071105,0.058607001952990775,0.08008320681174701,0.028,0.027,0.10348700337103059,0.027,0.05433574462550275,0.5192467155731182,0.1925727655466047,0.08603336864244188,0.06714534212698836,0.05468838832416623,0.06736768019684942,0.133794118398954,,,0.33133296175944815,0.05088171372127449,0.07880277876099456,270.3135987677203,0.03992792725189603,0.06378856627551316,0.045070560977804555,1.0815471689210114,0.08973963967929637,0.08068999064451624,0.5587797578403775,-1.1017352801145406,32,0,1,5,1,0,5,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,4690838318620951808,11.305,11.932,0.29728171866413666,11.257,0.062475274335475006,0.038163272861162945,1.257579562521967,0.1784966250894893,-0.196729023606996,-0.28267974718947897,"MFOBJECT",-0.11723551623126384,-0.15775872561472976,15.876027,,,222.859276018,0.009244826937307285,0.1461783452868033,27.1455072298,36.9153421938,43.2423833821,57.4858156602,140806004701009,1.6467922905717844,"01033024-7055227",4632.239793550718,0.18822949207786036,0.08025227320967221,13.874741089858656,1.308627768658833,7.817874530599379,-0.1193905919959124,-0.15771908724543668
